                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     33,                 1.3068,                  1.901,                 1.8208,                0.40149,                0.57533,                0.38238,                0.24651,                 1.1724,                 1.6513,                 1.8193,              0.0089781,              0.0089781,              0.0089781
                     34,                 1.2649,                 1.8636,                 1.7846,                0.25168,                0.45342,                0.27426,                 0.1452,                 1.5662,                 2.0887,                 2.2656,              0.0089461,              0.0089461,              0.0089461
                     35,                 1.2597,                 1.8601,                 1.7618,                0.45899,                 0.5028,                0.36566,                0.22201,                 1.2031,                 1.8193,                 1.8279,              0.0089142,              0.0089142,              0.0089142
                     36,                 1.2526,                 1.8507,                 1.7687,                0.52946,                 0.5793,                0.44265,                0.29288,                 1.1416,                 1.5363,                 1.7636,              0.0088823,              0.0088823,              0.0088823
                     37,                 1.2511,                 1.8082,                 1.7647,                0.35942,                0.59959,                0.40839,                0.28599,                 1.0573,                 1.4949,                  1.681,              0.0088503,              0.0088503,              0.0088503
                     38,                 1.2069,                 1.8009,                 1.7301,                0.59518,                0.54402,                0.46685,                 0.3183,                 1.0746,                 1.4641,                 1.6999,              0.0088184,              0.0088184,              0.0088184
                     39,                 1.2443,                 1.7893,                 1.7555,                0.59643,                0.49928,                0.40003,                0.26842,                 1.1128,                 1.6742,                 1.7489,              0.0087865,              0.0087865,              0.0087865
                     40,                 1.1812,                 1.7743,                 1.6991,                0.61003,                0.55472,                0.46201,                0.31703,                 1.0995,                 1.4508,                 1.7066,              0.0087545,              0.0087545,              0.0087545
                     41,                 1.1805,                  1.745,                 1.6934,                 0.4136,                0.65048,                0.45862,                0.30841,                 1.0976,                 1.4018,                 1.6867,              0.0087226,              0.0087226,              0.0087226
                     42,                 1.1602,                  1.704,                 1.6863,                0.47996,                0.62811,                0.47667,                 0.3437,                0.94791,                  1.368,                 1.5631,              0.0086906,              0.0086906,              0.0086906
                     43,                 1.1571,                 1.6406,                 1.6687,                0.51629,                0.68803,                0.49517,                0.34845,                0.98232,                 1.3766,                 1.5909,              0.0086587,              0.0086587,              0.0086587
                     44,                 1.1844,                 1.7336,                 1.7013,                0.53495,                0.60659,                0.49852,                0.35071,                 1.0081,                 1.4001,                 1.6102,              0.0086268,              0.0086268,              0.0086268
                     45,                 1.1303,                 1.6937,                 1.6567,                0.61949,                0.56783,                0.51007,                0.37135,                0.95773,                 1.3009,                 1.5631,              0.0085948,              0.0085948,              0.0085948
                     46,                   1.13,                 1.6527,                 1.6596,                0.50778,                0.61964,                0.50429,                0.36173,                0.92832,                 1.3477,                 1.5385,              0.0085629,              0.0085629,              0.0085629
                     47,                 1.1286,                 1.6874,                 1.6789,                0.44633,                0.66854,                0.46764,                0.33781,                0.94122,                 1.3621,                 1.5455,               0.008531,               0.008531,               0.008531
                     48,                 1.1165,                 1.6744,                 1.6358,                0.54631,                 0.6219,                0.51713,                 0.3746,                0.91851,                 1.2507,                 1.5274,               0.008499,               0.008499,               0.008499
                     49,                 1.0579,                  1.655,                  1.595,                 0.5704,                0.65031,                0.51612,                0.37639,                0.98033,                 1.3317,                 1.5441,              0.0084671,              0.0084671,              0.0084671
                     50,                 1.1368,                 1.6707,                 1.6518,                0.52734,                0.62667,                0.51986,                0.37288,                0.91351,                 1.3098,                  1.519,              0.0084352,              0.0084352,              0.0084352
                     51,                 1.0931,                 1.5951,                 1.6039,                0.55757,                0.65082,                0.54222,                0.40256,                0.89947,                 1.2884,                 1.4882,              0.0084032,              0.0084032,              0.0084032
                     52,                 1.0786,                   1.62,                 1.5995,                0.46161,                0.67875,                0.51369,                0.38347,                0.87547,                 1.2852,                  1.465,              0.0083713,              0.0083713,              0.0083713
                     53,                 1.0644,                 1.5808,                 1.5862,                0.62661,                0.65002,                0.52953,                 0.4079,                0.82842,                 1.1709,                  1.422,              0.0083394,              0.0083394,              0.0083394
                     54,                 1.0622,                 1.5606,                 1.5819,                 0.5244,                0.65247,                 0.5218,                0.38934,                0.85998,                 1.1851,                 1.4537,              0.0083074,              0.0083074,              0.0083074
                     55,                 1.0685,                 1.6206,                 1.6157,                0.58158,                0.67671,                0.54737,                0.40193,                0.86549,                 1.2094,                  1.467,              0.0082755,              0.0082755,              0.0082755
                     56,                 1.0423,                 1.5547,                  1.582,                0.50104,                0.64552,                0.52563,                0.37882,                0.95832,                 1.2724,                 1.5421,              0.0082435,              0.0082435,              0.0082435
                     57,                 1.0448,                 1.5677,                 1.5903,                0.54304,                0.70581,                0.55799,                0.42403,                0.81975,                 1.1862,                 1.4136,              0.0082116,              0.0082116,              0.0082116
                     58,                 1.0124,                 1.5425,                 1.5639,                0.56806,                0.72277,                0.54331,                0.41302,                 0.8715,                 1.1719,                 1.4498,              0.0081797,              0.0081797,              0.0081797
                     59,                 1.0415,                  1.527,                 1.5854,                 0.4961,                0.69473,                0.58046,                  0.443,                0.80265,                 1.1301,                 1.3814,              0.0081477,              0.0081477,              0.0081477
                     60,                 1.0354,                 1.5988,                 1.5836,                0.64202,                0.68232,                0.57456,                0.41481,                0.91947,                  1.153,                 1.5132,              0.0081158,              0.0081158,              0.0081158
                     61,                0.98067,                  1.516,                 1.5199,                0.55341,                0.70697,                0.54378,                0.42183,                0.79925,                 1.1257,                 1.3921,              0.0080839,              0.0080839,              0.0080839
                     62,                 1.0183,                 1.4946,                 1.5377,                0.56157,                0.69021,                 0.5514,                0.41731,                0.81576,                 1.1239,                 1.3997,              0.0080519,              0.0080519,              0.0080519
                     63,                 1.0387,                 1.5186,                 1.5539,                0.52425,                0.50814,                0.48166,                0.32326,                0.97065,                   1.58,                   1.52,                0.00802,                0.00802,                0.00802
                     64,                0.99478,                 1.5008,                 1.5292,                0.55904,                0.73992,                0.56578,                 0.4351,                 0.7805,                 1.1224,                 1.3771,              0.0079881,              0.0079881,              0.0079881
                     65,                0.99614,                 1.4611,                 1.5283,                 0.4962,                0.66345,                0.50196,                0.37421,                0.87247,                 1.2125,                  1.496,              0.0079561,              0.0079561,              0.0079561
                     66,                 1.0037,                 1.5018,                 1.5313,                0.46225,                0.67425,                0.54468,                0.42532,                0.76652,                 1.1157,                 1.3478,              0.0079242,              0.0079242,              0.0079242
                     67,                0.98946,                 1.4879,                 1.5115,                0.57967,                0.68484,                0.55642,                0.43214,                0.78911,                 1.1423,                 1.3599,              0.0078923,              0.0078923,              0.0078923
                     68,                0.99245,                 1.4835,                 1.5174,                0.65621,                0.74149,                0.58778,                0.46812,                0.70869,                   1.04,                 1.2919,              0.0078603,              0.0078603,              0.0078603
                     69,                0.96988,                 1.4372,                 1.5004,                0.56042,                0.67843,                0.56645,                0.44246,                0.72907,                  1.039,                 1.3156,              0.0078284,              0.0078284,              0.0078284
