                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    143,                0.69288,                 1.0311,                 1.2556,                0.83038,                0.84549,                0.91604,                 0.8007,                 0.4607,                0.58621,                  1.022,              0.0054652,              0.0054652,              0.0054652
                    144,                 0.6923,                 1.0212,                 1.2508,                0.78474,                0.85318,                0.89648,                0.77977,                0.46115,                0.66182,                  1.018,              0.0054332,              0.0054332,              0.0054332
                    145,                0.73094,                 1.0367,                 1.2823,                0.85722,                0.82669,                0.91177,                0.78513,                0.48494,                0.58325,                 1.0367,              0.0054013,              0.0054013,              0.0054013
                    146,                0.71614,                 1.0395,                 1.2736,                0.84278,                0.84379,                  0.922,                0.80783,                0.45053,                0.58619,                 1.0055,              0.0053694,              0.0053694,              0.0053694
                    147,                0.69849,                0.99912,                 1.2652,                0.82395,                0.87255,                0.92265,                0.80374,                0.48584,                0.58937,                 1.0432,              0.0053374,              0.0053374,              0.0053374
                    148,                0.71837,                 1.0544,                 1.2811,                0.83078,                0.90231,                0.94589,                0.83506,                0.44054,                0.56292,                0.99897,              0.0053055,              0.0053055,              0.0053055
                    149,                0.71085,                 1.0225,                 1.2722,                0.82987,                0.89971,                0.94363,                0.82136,                0.45748,                 0.5706,                 1.0096,              0.0052735,              0.0052735,              0.0052735
                    150,                0.67129,                0.95097,                 1.2237,                0.78651,                0.90016,                0.93136,                0.81922,                0.44231,                0.59154,                0.99765,              0.0052416,              0.0052416,              0.0052416
                    151,                0.70139,                 1.0104,                 1.2567,                0.87271,                0.87103,                   0.94,                0.83402,                0.43183,                0.51725,                0.99467,              0.0052097,              0.0052097,              0.0052097
                    152,                0.68668,                0.95144,                  1.252,                0.81653,                0.84598,                0.90745,                0.80006,                0.44584,                0.58955,                 1.0061,              0.0051777,              0.0051777,              0.0051777
                    153,                0.69361,                 0.9789,                 1.2498,                0.90807,                0.84968,                0.95331,                0.84616,                  0.425,                0.51581,                0.98254,              0.0051458,              0.0051458,              0.0051458
                    154,                0.68073,                0.95425,                  1.254,                0.85483,                0.87824,                 0.9522,                0.83267,                0.44713,                0.50997,                0.99852,              0.0051139,              0.0051139,              0.0051139
                    155,                0.69311,                 1.0025,                 1.2424,                0.90019,                0.84959,                0.94385,                0.83363,                0.43279,                0.53216,                0.98846,              0.0050819,              0.0050819,              0.0050819
                    156,                0.66533,                0.91974,                 1.2436,                0.88611,                0.90421,                0.94911,                 0.8376,                0.44835,                 0.5089,                0.99545,                0.00505,                0.00505,                0.00505
                    157,                0.69295,                 1.0016,                 1.2686,                0.86734,                0.91013,                0.95839,                0.84935,                0.43933,                 0.4859,                0.99173,              0.0050181,              0.0050181,              0.0050181
                    158,                0.67701,                0.95662,                 1.2494,                 0.8859,                0.89343,                0.95298,                0.84975,                0.42274,                0.50588,                0.98185,              0.0049861,              0.0049861,              0.0049861
                    159,                0.66232,                0.93657,                 1.2277,                0.88075,                0.89264,                0.94184,                0.83876,                0.41969,                0.53316,                0.97501,              0.0049542,              0.0049542,              0.0049542
                    160,                0.67416,                0.98252,                 1.2354,                0.86405,                0.92209,                0.95439,                0.84425,                0.43619,                0.53462,                0.98868,              0.0049223,              0.0049223,              0.0049223
                    161,                0.65812,                0.89596,                 1.2331,                0.89925,                0.88787,                0.95928,                0.86291,                0.41709,                0.49907,                0.97757,              0.0048903,              0.0048903,              0.0048903
                    162,                  0.653,                0.95015,                 1.2228,                0.91025,                0.92373,                0.97006,                0.86259,                0.42348,                0.46341,                0.97274,              0.0048584,              0.0048584,              0.0048584
                    163,                0.68772,                0.93899,                 1.2629,                0.91157,                0.93348,                0.97367,                0.86999,                0.41319,                0.46853,                0.96523,              0.0048265,              0.0048265,              0.0048265
                    164,                0.65195,                0.94023,                 1.2369,                 0.9399,                0.91494,                0.97472,                0.86878,                0.40838,                0.44039,                0.96033,              0.0047945,              0.0047945,              0.0047945
                    165,                0.65995,                0.90578,                  1.233,                0.92237,                0.92822,                0.97283,                0.87275,                0.41719,                0.43692,                0.97401,              0.0047626,              0.0047626,              0.0047626
                    166,                0.69617,                0.93881,                 1.2442,                0.91903,                 0.9374,                0.97705,                0.87447,                0.41683,                0.44683,                0.97968,              0.0047306,              0.0047306,              0.0047306
                    167,                0.66582,                0.89292,                 1.2315,                0.92601,                0.92572,                0.98269,                0.88372,                0.41232,                0.43586,                0.97071,              0.0046987,              0.0046987,              0.0046987
                    168,                0.65116,                0.89022,                 1.2252,                 0.9264,                0.92599,                0.97874,                 0.8888,                0.40478,                0.42921,                0.96095,              0.0046668,              0.0046668,              0.0046668
                    169,                0.67051,                0.88473,                 1.2357,                0.94842,                0.92635,                0.98404,                0.88803,                0.39782,                0.41433,                0.95483,              0.0046348,              0.0046348,              0.0046348
                    170,                0.61429,                0.86334,                 1.1947,                0.91813,                0.93352,                0.97425,                0.87476,                 0.4006,                0.43629,                0.95146,              0.0046029,              0.0046029,              0.0046029
                    171,                0.62364,                0.86742,                 1.2027,                 0.9163,                0.96542,                0.98431,                0.89569,                0.40739,                0.41983,                 0.9583,               0.004571,               0.004571,               0.004571
                    172,                0.67974,                0.90662,                 1.2394,                0.93733,                0.95358,                0.98562,                0.89451,                0.40135,                0.41152,                0.95487,               0.004539,               0.004539,               0.004539
                    173,                0.66913,                0.87991,                 1.2189,                0.92958,                0.93093,                0.98094,                0.89478,                0.38951,                 0.4145,                0.94254,              0.0045071,              0.0045071,              0.0045071
                    174,                0.66377,                  0.911,                 1.2395,                0.95725,                0.92627,                0.98386,                0.89225,                0.39839,                0.40453,                0.94327,              0.0044752,              0.0044752,              0.0044752
                    175,                0.64243,                0.86804,                  1.216,                0.92168,                0.93744,                0.97601,                0.88253,                0.39277,                0.40161,                0.94093,              0.0044432,              0.0044432,              0.0044432
                    176,                0.64886,                0.83946,                 1.2363,                0.93559,                0.94505,                 0.9826,                0.89112,                0.39177,                0.39267,                0.94576,              0.0044113,              0.0044113,              0.0044113
                    177,                0.65635,                0.91121,                 1.2445,                0.86181,                0.93193,                0.96495,                0.86539,                0.39864,                0.48183,                0.95621,              0.0043794,              0.0043794,              0.0043794
                    178,                0.65818,                0.90308,                 1.2297,                0.94797,                0.94713,                0.97632,                0.89292,                0.38238,                0.40851,                 0.9453,              0.0043474,              0.0043474,              0.0043474
                    179,                0.62337,                0.84907,                 1.2064,                0.90854,                0.93633,                0.97118,                0.88085,                0.38876,                0.44575,                0.94654,              0.0043155,              0.0043155,              0.0043155
                    180,                0.64177,                0.86213,                 1.2215,                0.97071,                0.92976,                0.98141,                0.89356,                0.38676,                0.38383,                0.94353,              0.0042835,              0.0042835,              0.0042835
                    181,                0.59872,                0.77895,                 1.1723,                0.96646,                0.94015,                0.98496,                0.90174,                0.38788,                0.37793,                0.94535,              0.0042516,              0.0042516,              0.0042516
                    182,                0.66599,                0.85908,                 1.2321,                0.93246,                 0.9582,                0.98158,                0.89887,                0.39108,                0.37811,                0.94566,              0.0042197,              0.0042197,              0.0042197
                    183,                0.63341,                0.84111,                 1.2154,                0.94909,                0.95072,                0.98584,                0.90025,                0.38241,                0.37421,                0.93967,              0.0041877,              0.0041877,              0.0041877
                    184,                0.62178,                0.82277,                 1.1936,                0.95165,                 0.9211,                 0.9809,                0.90372,                0.37363,                0.40141,                   0.93,              0.0041558,              0.0041558,              0.0041558
                    185,                0.61304,                0.82367,                  1.194,                0.93766,                0.97499,                0.98947,                0.91016,                0.38519,                0.37079,                 0.9355,              0.0041239,              0.0041239,              0.0041239
                    186,                0.61131,                0.81325,                  1.192,                0.95198,                0.95823,                0.98638,                0.90582,                0.37822,                0.36954,                0.93382,              0.0040919,              0.0040919,              0.0040919
                    187,                0.60821,                0.82219,                 1.1972,                0.95886,                0.95293,                0.98657,                0.90775,                0.36357,                0.34573,                0.92349,                0.00406,                0.00406,                0.00406
                    188,                0.58084,                0.78219,                 1.1767,                0.94651,                0.97309,                0.98687,                0.90523,                0.36919,                  0.371,                0.92907,              0.0040281,              0.0040281,              0.0040281
                    189,                0.59713,                0.84344,                 1.1745,                0.96349,                0.95347,                0.98795,                0.91276,                0.35896,                0.35812,                0.91794,              0.0039961,              0.0039961,              0.0039961
                    190,                0.59668,                 0.7878,                 1.1735,                0.97007,                0.96198,                0.99028,                0.90895,                0.36131,                0.34167,                 0.9266,              0.0039642,              0.0039642,              0.0039642
                    191,                0.59084,                0.79511,                 1.1864,                0.95995,                0.95284,                0.98606,                0.90868,                0.36968,                0.35528,                0.92939,              0.0039323,              0.0039323,              0.0039323
                    192,                0.60598,                0.83528,                 1.1863,                0.97076,                0.95314,                0.98884,                0.90923,                0.38028,                0.36387,                0.93521,              0.0039003,              0.0039003,              0.0039003
                    193,                0.61169,                0.82869,                 1.2008,                 0.9647,                0.97394,                0.99023,                0.91574,                0.36332,                0.34423,                 0.9192,              0.0038684,              0.0038684,              0.0038684
                    194,                0.59136,                0.77722,                 1.1698,                0.97277,                0.95833,                0.99111,                0.91046,                0.36543,                0.34455,                0.92311,              0.0038365,              0.0038365,              0.0038365
                    195,                0.58212,                0.77596,                  1.166,                0.97265,                0.96299,                0.99249,                0.91013,                0.36849,                0.34214,                0.92457,              0.0038045,              0.0038045,              0.0038045
                    196,                0.59354,                0.77201,                 1.1782,                0.96309,                0.96663,                0.99068,                0.91443,                0.35765,                0.35986,                0.92291,              0.0037726,              0.0037726,              0.0037726
                    197,                0.60996,                0.78826,                 1.1852,                0.97189,                0.94327,                0.98921,                0.91615,                0.35603,                0.35261,                0.92156,              0.0037406,              0.0037406,              0.0037406
                    198,                0.59337,                0.77895,                 1.1912,                0.97624,                0.96423,                 0.9908,                0.91864,                 0.3472,                0.33806,                0.91175,              0.0037087,              0.0037087,              0.0037087
                    199,                 0.5919,                0.86773,                 1.1798,                0.96193,                0.97375,                 0.9918,                0.90729,                0.36701,                0.34981,                0.92843,              0.0036768,              0.0036768,              0.0036768
                    200,                0.61516,                0.78327,                 1.2137,                0.97269,                0.93966,                 0.9879,                0.90096,                0.38075,                0.36703,                0.93659,              0.0036448,              0.0036448,              0.0036448
                    201,                0.59336,                0.78478,                 1.1784,                0.97093,                0.97657,                0.99234,                0.91276,                0.36017,                0.34061,                0.91936,              0.0036129,              0.0036129,              0.0036129
                    202,                0.58269,                0.74404,                 1.1701,                0.97537,                0.95941,                0.99237,                0.92463,                0.35341,                0.31916,                0.91306,               0.003581,               0.003581,               0.003581
                    203,                0.59071,                0.77929,                 1.1668,                0.95443,                0.96449,                0.99041,                0.91497,                0.36224,                0.34735,                0.91314,               0.003549,               0.003549,               0.003549
                    204,                0.60682,                0.76792,                 1.1825,                0.96365,                0.94084,                0.98948,                0.91498,                0.35484,                 0.3589,                 0.9085,              0.0035171,              0.0035171,              0.0035171
                    205,                0.58114,                0.72919,                 1.1731,                0.94757,                0.97416,                0.98953,                0.92253,                0.35349,                0.36467,                0.90603,              0.0034852,              0.0034852,              0.0034852
                    206,                0.61512,                0.74844,                 1.1947,                0.97771,                0.97523,                0.99322,                0.92855,                0.34917,                0.32379,                 0.9089,              0.0034532,              0.0034532,              0.0034532
                    207,                0.58665,                0.74992,                 1.1808,                0.98697,                0.98222,                0.99303,                0.92298,                0.33709,                0.30327,                0.90238,              0.0034213,              0.0034213,              0.0034213
                    208,                0.54651,                 0.7276,                 1.1443,                0.97921,                0.97625,                0.99257,                0.92149,                0.34317,                0.31238,                0.90477,              0.0033894,              0.0033894,              0.0033894
                    209,                 0.5635,                0.71779,                 1.1574,                0.97107,                0.99203,                0.99368,                 0.9312,                0.32267,                0.30352,                0.88937,              0.0033574,              0.0033574,              0.0033574
                    210,                0.56821,                0.74154,                 1.1666,                0.98083,                0.99204,                0.99437,                0.92494,                0.33667,                0.30045,                0.89461,              0.0033255,              0.0033255,              0.0033255
                    211,                0.58142,                0.77874,                 1.1664,                0.97906,                0.97526,                0.99345,                0.92497,                0.34549,                0.32207,                0.90049,              0.0032935,              0.0032935,              0.0032935
                    212,                0.55428,                  0.763,                 1.1641,                0.97682,                 0.9852,                0.99359,                0.93255,                 0.3342,                 0.3089,                0.89814,              0.0032616,              0.0032616,              0.0032616
                    213,                0.56596,                0.73861,                 1.1604,                0.97303,                0.96425,                0.99264,                0.92572,                0.32748,                0.30167,                0.89447,              0.0032297,              0.0032297,              0.0032297
                    214,                0.56667,                  0.747,                 1.1616,                0.98266,                0.98014,                 0.9939,                0.93318,                0.32774,                0.29449,                0.89017,              0.0031977,              0.0031977,              0.0031977
                    215,                0.57859,                 0.7001,                 1.1643,                0.98448,                0.96717,                0.99376,                0.93398,                0.32838,                0.31235,                0.89184,              0.0031658,              0.0031658,              0.0031658
                    216,                0.56661,                 0.7007,                 1.1685,                0.96389,                  0.975,                0.99169,                0.93101,                0.32862,                0.31061,                0.88911,              0.0031339,              0.0031339,              0.0031339
                    217,                0.55513,                 0.6835,                 1.1524,                0.97281,                0.96063,                0.99177,                0.93486,                0.32995,                0.32195,                0.88878,              0.0031019,              0.0031019,              0.0031019
                    218,                0.56646,                 0.7364,                 1.1599,                0.98273,                0.97366,                0.99157,                0.93337,                0.32331,                0.29375,                0.88968,                0.00307,                0.00307,                0.00307
                    219,                0.56087,                0.73828,                 1.1544,                0.98048,                0.97239,                 0.9908,                0.92839,                 0.3328,                 0.3058,                0.89241,              0.0030381,              0.0030381,              0.0030381
                    220,                0.55735,                0.70459,                 1.1319,                0.97155,                0.97048,                0.99164,                0.93371,                0.32852,                0.31767,                0.89052,              0.0030061,              0.0030061,              0.0030061
                    221,                0.52749,                0.66013,                 1.1214,                0.99246,                0.97814,                 0.9927,                0.93479,                0.31977,                0.29146,                0.88067,              0.0029742,              0.0029742,              0.0029742
                    222,                0.54068,                0.67609,                 1.1484,                0.98413,                0.96826,                0.99284,                0.93293,                0.33509,                0.29922,                0.88637,              0.0029423,              0.0029423,              0.0029423
                    223,                0.56903,                0.72088,                 1.1633,                 0.9857,                0.97648,                0.99271,                0.94035,                0.31901,                0.29622,                0.88008,              0.0029103,              0.0029103,              0.0029103
                    224,                0.55553,                0.69505,                 1.1531,                0.98249,                0.97314,                0.99303,                0.93741,                0.31776,                0.29863,                0.88266,              0.0028784,              0.0028784,              0.0028784
                    225,                0.54621,                 0.6962,                 1.1499,                0.99078,                0.97672,                0.99417,                0.94221,                 0.3141,                 0.2915,                0.88292,              0.0028465,              0.0028465,              0.0028465
                    226,                0.56147,                0.72632,                 1.1331,                0.99299,                0.98278,                0.99429,                0.94083,                 0.3147,                0.27795,                0.88486,              0.0028145,              0.0028145,              0.0028145
                    227,                0.58824,                0.68354,                 1.1705,                0.99386,                0.97506,                0.99326,                  0.938,                0.31927,                 0.2879,                0.88202,              0.0027826,              0.0027826,              0.0027826
                    228,                0.55495,                0.69989,                 1.1481,                0.98678,                0.98176,                0.99373,                0.93665,                0.30697,                0.28436,                0.87335,              0.0027506,              0.0027506,              0.0027506
                    229,                0.51987,                0.65776,                 1.1244,                0.98031,                0.98748,                0.99054,                0.93256,                 0.3092,                0.28262,                0.87425,              0.0027187,              0.0027187,              0.0027187
                    230,                0.53905,                0.66985,                 1.1365,                0.98644,                0.97816,                0.99033,                0.93527,                0.31902,                0.28687,                0.88093,              0.0026868,              0.0026868,              0.0026868
                    231,                0.54305,                0.66819,                 1.1332,                0.98961,                0.98848,                0.99491,                0.93929,                0.31987,                0.28173,                0.88355,              0.0026548,              0.0026548,              0.0026548
                    232,                0.55254,                0.64226,                 1.1331,                0.98452,                0.98128,                 0.9939,                 0.9452,                0.30547,                0.28566,                0.87043,              0.0026229,              0.0026229,              0.0026229
                    233,                0.52633,                0.65059,                 1.1409,                  0.978,                0.99073,                0.99394,                0.94917,                0.29924,                0.27661,                0.86869,               0.002591,               0.002591,               0.002591
                    234,                0.54379,                0.71164,                  1.142,                0.99277,                0.98836,                0.99429,                 0.9468,                0.30362,                 0.2665,                0.87292,               0.002559,               0.002559,               0.002559
                    235,                0.54052,                0.66421,                 1.1274,                0.98891,                0.99482,                0.99442,                0.94934,                0.28823,                0.26361,                0.86238,              0.0025271,              0.0025271,              0.0025271
                    236,                0.52507,                0.69557,                 1.1202,                0.98673,                0.99452,                0.99408,                0.94544,                0.29719,                0.27124,                0.86503,              0.0024952,              0.0024952,              0.0024952
                    237,                0.54191,                0.68438,                 1.1467,                0.99001,                0.98932,                0.99426,                0.94502,                 0.2928,                0.26127,                0.86293,              0.0024632,              0.0024632,              0.0024632
                    238,                0.53405,                0.65799,                 1.1471,                0.98744,                 0.9795,                0.99302,                0.94667,                 0.2944,                0.27039,                0.86595,              0.0024313,              0.0024313,              0.0024313
                    239,                 0.5374,                0.66436,                 1.1306,                0.98863,                0.97731,                  0.993,                0.94733,                0.29432,                0.27743,                0.86302,              0.0023994,              0.0023994,              0.0023994
                    240,                0.53184,                0.70532,                 1.1334,                0.98744,                0.97947,                 0.9925,                0.95001,                0.28974,                0.26557,                 0.8592,              0.0023674,              0.0023674,              0.0023674
                    241,                0.54205,                0.63121,                 1.1392,                0.99418,                0.98437,                0.99431,                0.94837,                0.29894,                0.26773,                0.86251,              0.0023355,              0.0023355,              0.0023355
                    242,                0.54331,                0.68114,                 1.1482,                0.99618,                0.99559,                0.99448,                 0.9498,                0.28477,                0.26087,                0.85413,              0.0023035,              0.0023035,              0.0023035
                    243,                0.55327,                0.64315,                 1.1468,                0.99518,                0.99339,                0.99435,                0.94557,                0.29507,                0.26253,                0.85821,              0.0022716,              0.0022716,              0.0022716
                    244,                0.52708,                0.65592,                 1.1353,                0.99352,                0.99599,                0.99457,                0.94519,                0.28655,                0.25452,                  0.852,              0.0022397,              0.0022397,              0.0022397
                    245,                0.51752,                0.63835,                 1.1174,                  0.996,                0.98364,                0.99441,                0.95511,                0.27747,                0.25196,                0.84861,              0.0022077,              0.0022077,              0.0022077
                    246,                0.51943,                0.63992,                 1.1266,                0.99313,                0.98707,                0.99459,                0.95154,                 0.2821,                0.25406,                0.85029,              0.0021758,              0.0021758,              0.0021758
                    247,                0.53436,                0.65096,                 1.1505,                0.99128,                 0.9858,                0.99439,                0.95519,                0.28787,                0.26038,                0.85457,              0.0021439,              0.0021439,              0.0021439
                    248,                 0.4887,                 0.6032,                  1.115,                0.99583,                0.99569,                 0.9945,                0.95241,                0.28285,                0.25225,                0.85382,              0.0021119,              0.0021119,              0.0021119
                    249,                0.49093,                0.63737,                 1.0995,                0.99107,                0.99606,                 0.9945,                0.95373,                0.28134,                0.25191,                0.85293,                0.00208,                0.00208,                0.00208
                    250,                0.50674,                0.62216,                 1.1006,                0.98726,                0.99637,                0.99462,                0.94735,                 0.2872,                 0.2552,                0.85645,              0.0020481,              0.0020481,              0.0020481
                    251,                0.52501,                0.64838,                 1.1236,                0.97978,                0.98409,                0.99408,                0.95056,                0.28398,                0.26766,                0.85457,              0.0020161,              0.0020161,              0.0020161
                    252,                0.51435,                0.63812,                 1.1154,                0.98169,                0.99316,                0.99436,                0.95712,                0.27521,                0.25984,                0.84745,              0.0019842,              0.0019842,              0.0019842
                    253,                0.51169,                0.63994,                 1.1257,                0.98236,                0.99136,                0.99481,                  0.958,                0.27152,                0.26153,                0.84688,              0.0019523,              0.0019523,              0.0019523
                    254,                0.50229,                0.61456,                 1.1022,                 0.9916,                0.99774,                0.99495,                0.95889,                0.28331,                0.24649,                0.85192,              0.0019203,              0.0019203,              0.0019203
                    255,                0.50706,                0.61816,                 1.1148,                0.98277,                0.99453,                 0.9942,                0.95485,                0.27492,                0.25783,                0.84841,              0.0018884,              0.0018884,              0.0018884
                    256,                0.48661,                0.58267,                  1.095,                0.99346,                 0.9836,                0.99439,                0.96028,                0.27086,                0.24977,                0.84636,              0.0018565,              0.0018565,              0.0018565
                    257,                0.49972,                 0.5979,                  1.115,                0.99502,                0.99134,                0.99427,                0.96205,                0.26622,                 0.2488,                0.84225,              0.0018245,              0.0018245,              0.0018245
                    258,                0.49268,                0.62057,                 1.1112,                0.99593,                0.98996,                0.99404,                0.96541,                0.25644,                0.24342,                0.83743,              0.0017926,              0.0017926,              0.0017926
                    259,                0.51827,                0.61144,                 1.1337,                0.98173,                0.99254,                0.99445,                0.95924,                0.26265,                0.24652,                0.84212,              0.0017606,              0.0017606,              0.0017606
                    260,                0.52924,                0.62673,                 1.1333,                0.98731,                0.99065,                 0.9945,                0.95722,                0.28057,                0.24743,                0.85102,              0.0017287,              0.0017287,              0.0017287
                    261,                 0.4972,                0.58434,                 1.1073,                0.99646,                0.99404,                0.99461,                0.96225,                0.26672,                0.24299,                0.84023,              0.0016968,              0.0016968,              0.0016968
                    262,                0.51038,                0.61598,                 1.1157,                0.99425,                0.99781,                0.99499,                0.96033,                0.26248,                 0.2378,                0.83814,              0.0016648,              0.0016648,              0.0016648
                    263,                0.51368,                0.64372,                 1.1288,                0.98443,                0.99096,                0.99431,                0.96578,                0.26146,                0.23749,                0.83692,              0.0016329,              0.0016329,              0.0016329
                    264,                0.49376,                0.60346,                  1.116,                0.98736,                0.98921,                0.99446,                0.96434,                0.26158,                0.23794,                0.83848,               0.001601,               0.001601,               0.001601
                    265,                0.48055,                 0.5634,                 1.0934,                0.99407,                0.98246,                0.99444,                0.96873,                0.26391,                0.23935,                 0.8409,               0.001569,               0.001569,               0.001569
                    266,                0.49392,                0.58278,                 1.0936,                0.99823,                0.99155,                0.99475,                0.96211,                0.27052,                0.24014,                0.84575,              0.0015371,              0.0015371,              0.0015371
                    267,                0.51926,                0.61889,                 1.1285,                0.99582,                0.99036,                0.99487,                0.96478,                0.26104,                0.23201,                 0.8399,              0.0015052,              0.0015052,              0.0015052
                    268,                0.48721,                0.59404,                 1.1125,                0.99643,                0.98997,                0.99461,                0.96493,                0.25575,                0.23071,                0.83788,              0.0014732,              0.0014732,              0.0014732
                    269,                0.50387,                0.58063,                 1.1111,                0.99734,                0.98962,                0.99463,                0.96167,                0.26037,                0.23306,                0.84042,              0.0014413,              0.0014413,              0.0014413
                    270,                0.50742,                0.60279,                 1.1153,                0.99872,                0.98946,                0.99487,                0.96508,                0.25604,                0.23297,                0.83583,              0.0014094,              0.0014094,              0.0014094
                    271,                0.47593,                0.58668,                 1.0994,                0.99874,                0.98912,                0.99487,                0.96587,                0.25271,                0.23142,                0.83201,              0.0013774,              0.0013774,              0.0013774
                    272,                0.48937,                0.57092,                 1.1052,                0.99217,                0.99864,                0.99499,                0.96314,                0.25515,                0.23252,                0.83275,              0.0013455,              0.0013455,              0.0013455
                    273,                0.48903,                0.55072,                 1.1149,                0.98459,                0.99883,                0.99468,                 0.9665,                0.25107,                0.23323,                0.82937,              0.0013135,              0.0013135,              0.0013135
                    274,                0.48079,                 0.5612,                 1.1032,                0.98706,                0.99626,                0.99468,                0.96558,                0.25282,                0.23221,                0.82978,              0.0012816,              0.0012816,              0.0012816
                    275,                0.49412,                0.56404,                 1.1154,                0.99674,                0.99624,                0.99499,                0.96278,                0.25903,                0.23311,                0.83401,              0.0012497,              0.0012497,              0.0012497
                    276,                0.44416,                0.53887,                 1.0738,                0.99763,                 0.9978,                0.99494,                0.96796,                0.24786,                 0.2306,                0.82918,              0.0012177,              0.0012177,              0.0012177
                    277,                 0.4914,                0.59766,                 1.1208,                0.99072,                0.99873,                0.99487,                 0.9718,                0.24917,                0.22825,                0.82945,              0.0011858,              0.0011858,              0.0011858
                    278,                0.50205,                0.57589,                 1.1116,                0.99691,                0.99887,                  0.995,                0.96744,                0.24776,                0.22962,                 0.8288,              0.0011539,              0.0011539,              0.0011539
                    279,                 0.4729,                0.54849,                 1.0928,                0.99697,                0.99748,                0.99498,                0.96862,                0.24456,                 0.2301,                0.82536,              0.0011219,              0.0011219,              0.0011219
                    280,                0.48502,                0.58539,                 1.1171,                0.99782,                0.99092,                0.99479,                0.97132,                0.24558,                0.23188,                  0.827,                0.00109,                0.00109,                0.00109
                    281,                0.47466,                0.56986,                 1.0964,                0.99622,                0.99652,                0.99498,                0.96817,                0.24737,                0.23503,                0.82782,              0.0010581,              0.0010581,              0.0010581
                    282,                0.47082,                0.54544,                 1.0802,                0.99441,                0.99763,                  0.995,                0.97313,                0.24116,                 0.2291,                0.82474,              0.0010261,              0.0010261,              0.0010261
                    283,                0.47421,                0.57301,                 1.1011,                0.99695,                0.99915,                  0.995,                0.96892,                0.23886,                0.22619,                0.82423,             0.00099419,             0.00099419,             0.00099419
                    284,                0.46563,                0.53782,                 1.0846,                0.99776,                0.99638,                  0.995,                0.96802,                0.23493,                0.22613,                0.82308,             0.00096226,             0.00096226,             0.00096226
                    285,                0.48493,                0.57565,                 1.1002,                 0.9963,                 0.9989,                  0.995,                0.96844,                0.23851,                0.22627,                0.82317,             0.00093032,             0.00093032,             0.00093032
                    286,                 0.4586,                0.55664,                 1.0789,                0.99629,                 0.9989,                  0.995,                 0.9698,                0.24137,                 0.2226,                 0.8242,             0.00089839,             0.00089839,             0.00089839
                    287,                0.46307,                0.56742,                 1.0867,                0.99642,                 0.9989,                  0.995,                0.97417,                0.24195,                0.22225,                0.82625,             0.00086645,             0.00086645,             0.00086645
                    288,                0.44986,                0.54042,                 1.0705,                0.99604,                0.99827,                  0.995,                0.97515,                 0.2346,                0.22255,                 0.8223,             0.00083452,             0.00083452,             0.00083452
                    289,                0.45261,                0.51369,                  1.086,                0.99279,                 0.9989,                  0.995,                0.97784,                0.23332,                0.21955,                0.81899,             0.00080258,             0.00080258,             0.00080258
                    290,                 0.4432,                0.50666,                 1.0726,                0.99169,                 0.9989,                  0.995,                0.97468,                0.23298,                0.21646,                0.81912,             0.00077065,             0.00077065,             0.00077065
                    291,                0.47104,                0.57449,                 1.0957,                0.99334,                0.99869,                  0.995,                 0.9735,                0.23116,                0.21693,                 0.8183,             0.00073871,             0.00073871,             0.00073871
                    292,                0.43179,                0.54641,                 1.0794,                0.99476,                0.99853,                  0.995,                0.97083,                0.23294,                0.21965,                 0.8186,             0.00070677,             0.00070677,             0.00070677
                    293,                0.46163,                0.56995,                  1.096,                0.99584,                 0.9972,                  0.995,                0.97274,                0.23023,                0.21676,                0.81672,             0.00067484,             0.00067484,             0.00067484
                    294,                 0.4531,                0.53813,                 1.0755,                0.99804,                0.99715,                  0.995,                0.97397,                0.22727,                 0.2138,                0.81468,              0.0006429,              0.0006429,              0.0006429
                    295,                0.46289,                0.54288,                 1.0955,                 0.9983,                0.99794,                  0.995,                0.97426,                 0.2244,                0.21129,                0.81391,             0.00061097,             0.00061097,             0.00061097
                    296,                0.44686,                0.51967,                 1.0726,                0.99134,                0.99816,                0.99486,                 0.9759,                0.22431,                0.21243,                0.81471,             0.00057903,             0.00057903,             0.00057903
                    297,                0.46139,                0.53446,                 1.0892,                0.99741,                0.99843,                0.99499,                0.97592,                0.22327,                0.21251,                 0.8144,              0.0005471,              0.0005471,              0.0005471
                    298,                0.46162,                 0.5258,                 1.0876,                0.99692,                0.99826,                0.99499,                 0.9775,                0.22293,                0.21246,                0.81376,             0.00051516,             0.00051516,             0.00051516
                    299,                0.41508,                  0.482,                 1.0514,                0.99675,                0.99749,                0.99495,                0.97524,                0.22425,                0.21444,                0.81407,             0.00048323,             0.00048323,             0.00048323
                    300,                0.43754,                0.51271,                 1.0754,                0.99683,                0.99737,                0.99495,                0.97551,                0.22498,                 0.2127,                0.81439,             0.00045129,             0.00045129,             0.00045129
                    301,                0.43583,                0.53766,                 1.0646,                0.99666,                0.99748,                0.99497,                0.97446,                0.22255,                0.21218,                0.81337,             0.00041935,             0.00041935,             0.00041935
                    302,                0.44008,                0.50052,                 1.0609,                0.99653,                 0.9976,                0.99497,                0.97686,                0.22039,                0.21312,                0.81269,             0.00038742,             0.00038742,             0.00038742
